time,node0x,node0y,node1x,node1y,node2x,node2y,node3x,node3y,node4x,node4y,node5x,node5y
0.0,0.0,0.0,1.0,0.00477224,2.0,0.00477224,3.0,0.00477224,4.0,0.00477224,5.0,0.00477224
0.01,0.0,0.0,0.9999771906142743,0.009514597791884277,1.9999886840929484,0.009514622495826318,2.9999924560500006,0.009514635604132276,3.9999943420343596,0.009514638236688066,4.999995473626325,0.009514639455186796
0.02,0.0,0.0,0.9999321764334923,0.01422758302676657,1.9999661416312855,0.014227737827526293,2.999977478586461,0.014227791764145908,3.999983119224533,0.01422780478230782,4.999986487129965,0.014227810807885651
0.03,0.0,0.0,0.9998655375863638,0.018911687524445202,1.9999324634106819,0.018912155563645842,2.9999551728073177,0.018912292123624386,3.999966421057912,0.018912328213027595,4.999973104391296,0.018912344917526427
0.04,0.0,0.0,0.9997778309725679,0.023567386111050755,1.9998877414891432,0.02356842554233705,2.999925639022466,0.02356870008270409,3.999944333548858,0.02356877668239704,4.999955387033567,0.02356881213834117
0.05,0.0,0.0,0.999669591424405,0.028195137402770347,1.9998320690162312,0.028197078845494456,2.9998889729792246,0.02819755979429893,3.999916939391605,0.028197698925696336,4.999933394528838,0.02819776332768917
0.06,0.0,0.0,0.9995413328020022,0.0327953845400833,1.9997655400721177,0.032798628711134856,2.999845266164649,0.03279939709721155,3.99988431810556,0.03279962520060879,4.999907184297001,0.032799730790458524
0.07,0.0,0.0,0.9993935490265131,0.03736855587651033,1.9996882495161576,0.037373571388760005,2.9997946060864,0.037374720391013846,3.9998465461734933,0.03737506816914575,4.999876811798454,0.03737522916448968
0.08,0.0,0.0,0.9992267150554026,0.041915065625493644,1.999600292844661,0.041922386942015485,2.999737076533755,0.04192402145713413,3.9998036971730637,0.04192452372530376,4.999842330620922,0.04192475625151655
0.09,0.0,0.0,0.9990412878035836,0.04643531446868313,1.999501766057519,0.04644554000257706,2.9996727578202154,0.046447776230190176,3.999755841902078,0.04644847177253217,4.999803792560912,0.046448793797717436
0.1,0.0,0.0,0.9988377070138874,0.05092969012859817,1.9993927655333432,0.05094348047885224,2.999601727009046,0.05094644552324957,3.9997030484978553,0.05094737695472853,4.999761247700209,0.050947808227606514
0.11,0.0,0.0,0.9986163960800826,0.05539856790836202,1.9992733879127673,0.05541664422277593,2.9995240581229927,0.05542047571037789,3.999645382551044,0.05542168934415518,4.999714744477807,0.05542225133467145
0.12,0.0,0.0,0.9983777628254198,0.05984231120096133,1.9991437299895594,0.05986545365770008,2.9994398223393164,0.059870299369546236,3.999582907214191,0.05987184508937865,4.999664329757624,0.05987256093187023
0.13,0.0,0.0,0.998122200239461,0.06426127197026474,1.999003888609201,0.06429031837012611,2.9993490881712037,0.06429633588870912,3.9995156833053644,0.06429826702607055,4.999610048892319,0.06429916146483647
0.14,0.0,0.0,0.9978500871757495,0.06865579120583785,1.9988539605745848,0.06869163566780119,2.99925192163653,0.06869899203762879,3.9994437694070863,0.06870136525327143,4.999551945783505,0.06870246459040445
0.15,0.0,0.0,0.9975617890126994,0.07302619935341542,1.998694042558496,0.07306979110649367,2.9991483864148796,0.07307866250780953,3.9993672219608296,0.07308153767750407,4.999490062938626,0.07308286972284986
0.16,0.0,0.0,0.99725765827991,0.07737281672273247,1.9985242310225457,0.0774251589875763,2.9990385439936627,0.07743573042271304,3.9992860953573044,0.07743917052692889,4.999424441524736,0.0774407645500471
0.17,0.0,0.0,0.9969380352519615,0.08169595387427266,1.9983446221422314,0.08175810282837649,2.998922453804101,0.08177056782025184,3.99920044202275,0.0817746388375576,4.999355121419416,0.08177652552156763
0.18,0.0,0.0,0.9966032485116062,0.08599591198636294,1.9981553117378146,0.08606897580709864,2.998800173347803,0.08608353610939926,3.999110312501429,0.08608830691338144,4.999282141259017,0.08609051831058304
0.19,0.0,0.0,0.9962536154841377,0.0902729832039261,1.9979563952107076,0.09035812118398373,2.9986717583145945,0.09037498650261075,3.9990157555345136,0.09038052876212507,4.999205538484427,0.09038309825129104
0.2,0.0,0.0,0.9958894429446034,0.094527450970097,1.997747967485078,0.09462587270024334,2.9985372626922233,0.09464526042562041,3.998916818135533,0.09465164850820483,4.999125349384536,0.09465461075344946
0.21,0.0,0.0,0.9955110274994148,0.09875959034181238,1.997530122954386,0.09887255495618891,2.99839673886851,0.09889468990605721,3.9988135456625535,0.09890200078434944,4.999041609137549,0.09890539169548267
0.22,0.0,0.0,0.9951186560438081,0.10296966829039637,1.997302955432582,0.10309848376987064,2.9982502377264755,0.1031235979422169,3.9987059818872366,0.10313191110323144,4.998954351850298,0.10313576779751435
0.23,0.0,0.0,0.9947126061965126,0.10715794398808505,1.9970665581097014,0.107303966517443,2.9980978087329437,0.10733229885322575,3.9985941690609255,0.1073416962103571,4.998863610595676,0.10734605697557972
0.24,0.0,0.0,0.9942931467128994,0.11132466908136084,1.996821023511605,0.11148930245638491,2.997939500021074,0.11152109861174184,3.9984781479778952,0.11153166441937044,4.998769417448342,0.11153656867817813
0.25,0.0,0.0,0.9938605378778007,0.11547008795190189,1.9965664434636259,0.11565478303262101,2.9977753584672495,0.11569029516025613,3.998357958035896,0.11570211593084366,4.998671803518769,0.11570760420624254
0.26,0.0,0.0,0.9934150318791161,0.11959443796589177,1.9963029090578879,0.11980069217251547,2.9976054297627193,0.11984017871197938,3.998233637294107,0.11985334313554802,4.998570798985781,0.11985945701752512
