time,node0x,node0y,node1x,node1y,node2x,node2y,node3x,node3y,node4x,node4y,node5x,node5y
0.0,0.0,0.0,0.0,0.477224,0.0,0.477224,0.0,0.477224,0.0,0.477224,0.0,0.477224
0.01,0.0,0.0,-0.002280938572574165,0.4742357791884277,-0.0011315907051612228,0.47423824958263183,-0.0007543949999355704,0.4742395604132276,-0.0005657965640448737,0.47423982366880657,-0.00045263736749845407,0.47423994551867965
0.02,0.0,0.0,-0.004501418078195485,0.47129852348822937,-0.002254246166288887,0.4713115331699975,-0.0014977463539622704,0.4713156160013632,-0.0011222809826350044,0.47131665456197536,-0.0008986496360385843,0.4713171352698855
0.03,0.0,0.0,-0.006663884712854173,0.4684104497678632,-0.0033678220603627906,0.4684417736119549,-0.002230577914330567,0.46845003594784773,-0.001669816662142054,0.46845234307197753,-0.0013382738668354932,0.4684534109640776
0.04,0.0,0.0,-0.00877066137958682,0.4655698586605552,-0.004472192153870402,0.4656269978691209,-0.00295337848519317,0.4656407959079706,-0.0022087509053747567,0.46564484693694463,-0.0017717357729374328,0.46564672208147423
0.05,0.0,0.0,-0.010823954816285841,0.46277512917195923,-0.005567247291193844,0.4628653303157405,-0.0036666043241151414,0.46288597115948377,-0.0027394157252835782,0.46289222432992944,-0.002199250472934011,0.4628951189348002
0.06,0.0,0.0,-0.01282586224028437,0.46002471373129544,-0.006652894411351973,0.46015498656403997,-0.004370681457555037,0.4601837302912623,-0.0032621286045309006,0.4601926274912457,-0.0026210231836465425,0.46019674627693524
0.07,0.0,0.0,-0.014778377548907429,0.4573171336427026,-0.00772905559600634,0.4574942677625149,-0.00506600782492761,0.4575323293802294,-0.0037771932066554825,0.4575442968536958,-0.0030372498547315274,0.4575498374031157
0.08,0.0,0.0,-0.01668339711105027,0.4546509748983317,-0.008795667149663622,0.4548815553255481,-0.00575295526448194,0.45493010661202815,-0.004284900042961226,0.4549455556158009,-0.0034481177531908713,0.45495270870268695
0.09,0.0,0.0,-0.018542725181902586,0.45202488431894877,-0.009852678714206142,0.45231530605615716,-0.006431871353962393,0.45237547730560473,-0.0047855270985941445,0.4523948047228408,-0.003853806000986282,0.45240375462008847
0.1,0.0,0.0,-0.020358078969617832,0.4494375659915041,-0.010900052417572859,0.44979404762751846,-0.007103081116932586,0.4498669293059393,-0.005279340422248424,0.44989051821963594,-0.004254486070287555,0.44990144298890783
0.11,0.0,0.0,-0.022131093380484135,0.4468877779763847,-0.011937762057590007,0.4473163743923689,-0.007766888605331701,0.44740301871283233,-0.00576659468114471,0.4474312389426652,-0.004650322240173921,0.4474443107064935
0.12,0.0,0.0,-0.023863325466277896,0.44437432925993126,-0.012965792320795977,0.444880943492415,-0.00842357836763341,0.4449823659168343,-0.006247533685277418,0.445015574522347,-0.005041472018341153,0.44503095971987827
0.13,0.0,0.0,-0.025556258595882397,0.4418960769303405,-0.013984138035838534,0.4424864712426028,-0.009073416811267165,0.44260365191628803,-0.006722390882663021,0.44264219366919044,-0.005428086530478993,0.4426600532966236
0.14,0.0,0.0,-0.027211306371144328,0.4394519235573116,-0.014992803461622017,0.4401317297675081,-0.009716653467384262,0.4402656148919673,-0.007191389827809758,0.44030982272008773,-0.00581031088140449,0.4403303125567984
0.15,0.0,0.0,-0.02882981630500936,0.43704081475775675,-0.015991801608872258,0.437815543869248,-0.010353522165029716,0.4379670470180744,-0.007654744625673615,0.4380172424232637,-0.006188284487951279,0.4380405132445406
0.16,0.0,0.0,-0.03041307327894538,0.4346617369317046,-0.016981153595030385,0.43553678810826363,-0.010984242121692134,0.43570679149035063,-0.008112660352521672,0.43576328494248223,-0.006562141388943843,0.43578948271972423
0.17,0.0,0.0,-0.03196230279485235,0.4323137151540188,-0.01796088803143192,0.4332943840800185,-0.011609018956182382,0.43348373975388016,-0.008565333455434754,0.43354683106287123,-0.006932010531990329,0.4335760971520525
0.18,0.0,0.0,-0.03347867403552529,0.4299958112090288,-0.018931040441683145,0.4310872978722152,-0.01222804562979185,0.43129682891474147,-0.009012952132092522,0.431366807582384,-0.007298016039936073,0.4313992789015411
0.19,0.0,0.0,-0.03496330274684878,0.42770712175631553,-0.019891652710701813,0.4289145376885087,-0.012841503320837333,0.42914503932114934,-0.009455696691551552,0.429222184874363,-0.007660277459020648,0.42925799407080023
0.2,0.0,0.0,-0.03641725395343576,0.42544677661709024,-0.020842772562956746,0.42677515162596047,-0.013449562237122237,0.427027392300966,-0.009893739898059195,0.42711197460797573,-0.008018909989093714,0.4271512502158417
0.21,0.0,0.0,-0.03784154451885735,0.42321393717153766,-0.02178445306919574,0.4246682255945572,-0.014052382371332328,0.42494294804368005,-0.01032724729794765,0.4250352276144606,-0.008374024698643012,0.4250780942033211
0.22,0.0,0.0,-0.0392371455606666,0.42100779485839956,-0.02271675218039615,0.4225928813681737,-0.014650114203451636,0.422890803615969,-0.010756377531695449,0.42299103188820075,-0.008725728725167414,0.42303761020316827
0.23,0.0,0.0,-0.040604984729553095,0.4188275697688676,-0.023639732288072146,0.42054827475723616,-0.015242899353173911,0.42087009110088475,-0.011181282631111955,0.4209785107125649,-0.009074125462138483,0.4210289178065374
0.24,0.0,0.0,-0.041945948361321594,0.4166725093275786,-0.02455345980962864,0.41853359389419087,-0.015830871186972573,0.418879975851609,-0.011602108303021552,0.41899682090133505,-0.00941931473343871,0.4190511702598404
0.25,0.0,0.0,-0.04326088350986579,0.4145418870541054,-0.025458004797918043,0.41654805762360997,-0.01641415538244928,0.41691965485142896,-0.012018994199936017,0.41704515114732166,-0.00976139295731926,0.4171035528064415
